PID,Social Media Post,Normalized Claim
1017,"a poll watcher in philly was just wrongfully prevented from entering the polling place stopthesteal","Poll watchers in Philadelphia prevented from entering polling places."
1018,"this is our socalled india is this the freedom of women similarly daughters are being killed in uttar pradesh","This is our so-called India. Is this the freedom of women? Similarly, daughters are being killed in Uttar Pradesh"
1019,"nehru ji was like this bhabha atomic plant being inaugurated by an adivasi lady","Nehru ji was like this! BHABHA ATOMIC PLANT BEING INAUGURATED BY AN ADIVASI LADY"
1020,"this is disrespectful bbc removes jammu and kashmir from indian map mib_india should ban bbc from india","This is Disrespectful. BBC removes Jammu & Kashmir from Indian Map. @MIB_India should ban #BBC from India."
1021,"qanon is abuzz with the suez canal story given the ever given ships call sign is h 3 rc and hillary clintons initials are hrc and the ship is operated by evergreen marine and hillarys secret service code is evergreen the ship is tarfficking kids on behalf of the clintons","Ship in the Suez Canal is human trafficking vessel connected to Hillary Clinton"
1022,"indian m 17 crashed in laddakh","Indian M17 crashed in Laddakh"
1023,"if you want to find out the truth about carbon dioxide and our climate crisis follow peter clack on twitter he is a true expert and he explains that our carbon dioxide is actually not enough we have had an uptake in carbon dioxide and that is why in the past 20 years green is starting to grow in our deserts carbon dioxide is too low right now and we need more of it so everything they are saying about climate change is complete nonsense we are at risk of cooling right now do you remember when they changed the term from global warming to climate change that is because they follow the climate and make their narrative fit whatever the climate is doing it is fearmongering for complete control over our lives and while they are at it taxing us into poverty stop complying with the most corrupt governments around the world that are all being manipulated by the same group of people","‘No correlation’ between carbon dioxide emissions and the climate"
1024,"1 dose of the covid 19 vaccine gives good protection against your child getting seriously ill but 2 doses gives stronger and longerlasting protection","Covid-19 vaccines do not protect 5-year-olds or 12-year-olds against serious illness or death with the disease."
1025,"1 after taking covid and flu shots angela west tested positive for covid yesterday friday col west is experiencing a low grade fever and light body aches out of concern for public health col west is suspending inperson events until receiving an allclear indication","""Why not promote protocols such as Regeneron monoclonal antibody infusion therapy? Why not promote Budesonide nebulizer treatments? Why not promote healthy over the counter therapies such as zinc — which I take — D3, vitamin C, Hydroxychloroquine, and yes, Ivermectin?"""
1026,"heavy revolt in bjp after up earthquake in bjp in madhya pradesh also madhya pradesh home minister narottam mishra rebelled along with 30 mlas opened a front against shivraj","MP home minister rebels"
1027,"live jared kushner interviewed at the time 100 summit","Russia’s interference in the 2016 election amounted to ""a couple of Facebook ads."""
1028,"what sehwag wrote is short and crisp","Sehwag has targeted Aligarh Muslim University and Jawaharlal Nehru University with a tweet"
1029,"allahu akbar morgan freeman at the opening ceremony for the fifa world cup in qatar famous hollywood actor morgan freeman accepts islam","Morgan Freeman accepted Islam at FIFA World Cup Opening Ceremony"
